id,countryCode,month,year,lengthStay,numberVisitors,annualAccumulated
lsv_233,es,1,2018,3,1750190,1750190
lsv_234,es,12,2017,3,1811057,38057347
lsv_235,es,11,2017,3,2010739,36246290
lsv_236,es,10,2017,3,3472396,34235551
lsv_237,es,9,2017,3,4143526,30763155
lsv_238,es,8,2017,3,4060961,26619628
lsv_239,es,7,2017,3,4604267,22558668
lsv_240,es,6,2017,3,4149077,17954400
lsv_241,es,5,2017,3,3953302,13805323
lsv_242,es,4,2017,3,3819191,9852021
lsv_243,es,3,2017,3,2373311,6032830
lsv_244,es,2,2017,3,1975734,3659519
lsv_245,es,1,2017,3,1683785,1683785
lsv_246,es,12,2016,3,1764793,34964628
lsv_247,es,11,2016,3,1847038,33199835
lsv_248,es,10,2016,3,3446595,31352797
lsv_249,es,9,2016,3,3600546,27906202
lsv_250,es,8,2016,3,3855065,24305656
lsv_251,es,7,2016,3,4289944,20450591
lsv_252,es,6,2016,3,3622764,16160647
lsv_253,es,5,2016,3,3540683,12537883
lsv_254,es,4,2016,3,3177059,8997200
lsv_255,es,3,2016,3,2360661,5820142
lsv_256,es,2,2016,3,1862213,3459480
lsv_257,es,1,2016,3,1597268,1597268
lsv_258,es,12,2015,3,1714852, 
lsv_259,es,11,2015,3,1841612, 
lsv_260,es,10,2015,3,3269096, 
lsv_261,es,2,2021,4,46484,146696
lsv_262,es,1,2021,4,100212,100212
lsv_263,es,12,2020,4,113451,4133264
lsv_264,es,11,2020,4,110918,4019813
lsv_265,es,10,2020,4,200968,3908895
lsv_266,es,9,2020,4,253587,3707927
lsv_267,es,8,2020,4,770621,3454340
lsv_268,es,7,2020,4,756375,2683720
lsv_269,es,6,2020,4,36722,1927344
lsv_270,es,5,2020,4,0,1890622
lsv_271,es,4,2020,4,0,1890622
lsv_272,es,3,2020,4,328194,1890622
lsv_273,es,2,2020,4,685197,1572317
lsv_274,es,1,2020,4,887120,887120
lsv_275,es,12,2019,4,728062,18819043
lsv_276,es,11,2019,4,811567,18090981
lsv_277,es,10,2019,4,1623776,17279414
lsv_278,es,9,2019,4,2185106,15655638
lsv_279,es,8,2019,4,3260068,13470532
lsv_280,es,7,2019,4,2979020,10210464
lsv_281,es,6,2019,4,1939369,7231443
lsv_282,es,5,2019,4,1444254,5292074
lsv_283,es,4,2019,4,1297786,3847821
lsv_284,es,3,2019,4,931328,2550035
lsv_285,es,2,2019,4,692441,1618707
lsv_286,es,1,2019,4,926266,926266
lsv_287,es,12,2018,4,733110,19484451
lsv_288,es,11,2018,4,842095,18751341
lsv_289,es,10,2018,4,1696706,17909246
lsv_290,es,9,2018,4,2325989,16212539
lsv_291,es,8,2018,4,3411810,13886551
lsv_292,es,7,2018,4,2998712,10474741
lsv_293,es,6,2018,4,1973368,7476029
lsv_294,es,5,2018,4,1615934,5502661
lsv_295,es,4,2018,4,1266880,3886727
lsv_296,es,3,2018,4,918127,2619847
lsv_297,es,2,2018,4,696147,1701719
lsv_298,es,1,2018,4,1005572,1005572
lsv_299,es,12,2017,4,666539,19697307
lsv_300,es,11,2017,4,856911,19030768
lsv_301,es,10,2017,4,1651632,18173857
